id,number,buyprice,purchasedate,listeddate,sellprice,solddate,item_id,requestdate
12,200,1940,2016-05-15 12:22:12,2016-05-15 14:51:54,2070,2016-05-15 09:28:30,1857,2016-05-15 11:44:11
13,10,28000,2016-05-15 09:28:06,2016-05-15 09:28:14,32640,2016-05-15 09:28:15,2807,2016-05-15 09:28:04
14,301,3220,2016-05-15 06:54:50,2016-05-15 06:54:51,3239,2016-05-15 06:54:52,2496,2016-05-15 06:54:49
15,5,89700,2016-05-15 14:55:15,2016-05-15 14:55:29,96500,2016-05-15 14:55:31,1945,2016-05-15 14:55:14
16,1000,1520,2016-05-15 12:09:26,2016-05-15 12:09:35,1730,2016-05-15 12:09:37,1545,2016-05-15 11:41:35
17,5,28000,2016-05-15 11:40:48,2016-05-15 11:41:14,32640,2016-05-15 11:41:16,1922,2016-05-15 11:40:44
18,40,20800,2016-05-15 10:30:22,2016-05-15 10:33:05,21300,2016-05-15 10:55:35,474,2016-05-15 09:54:13
19,7,52000,2016-05-15 10:31:02,2016-05-15 10:32:47,57400,2016-05-15 10:55:36,1297,2016-05-15 10:31:01
20,200,1450,2016-05-15 10:34:01,2016-05-15 10:52:52,1780,2016-05-15 10:52:54,600,2016-05-15 10:33:56
21,1,43500,2016-05-15 10:30:05,2016-05-15 10:33:23,46500,2016-05-15 10:33:31,2625,2016-05-15 09:45:39
23,45,15,,,0,,8,2016-05-22 06:38:49
24,32,6453,2016-05-22 09:57:18,,0,,1065,2016-05-22 09:57:15
25,324,5326,2016-05-22 09:57:33,2016-05-22 09:57:34,4325,,2518,2016-05-22 09:57:31
26,5325,432,2016-05-22 10:16:22,2016-05-22 10:16:23,0,,773,2016-05-22 10:16:21
