id,name,description,itemid,members,buylimit,highalch
1,Cannonball,Ammo for the Dwarf Cannon.,2,True,7000,3
2,Cannon base,The cannon is built on this.,6,True,0,112500
3,Cannon stand,The mounting for the multicannon.,8,True,0,112500
4,Cannon barrels,The barrels of the multicannon.,10,True,0,112500
5,Cannon furnace,This powers the multicannon.,12,True,0,112500
6,Insect repellent,Drives away all known 6 legged creatures.,28,True,0,2
7,Bucket of wax,It's a bucket of wax.,30,True,0,4
8,Candle,A candle.,36,True,0,2
9,Bronze arrowtips,I can make some arrows with these.,39,True,0,1
10,Iron arrowtips,I can make some arrows with these.,40,True,0,1
11,Steel arrowtips,I can make some arrows with these.,41,True,0,4
12,Mithril arrowtips,I can make some arrows with these.,42,True,0,10
13,Adamant arrowtips,I can make some arrows with these.,43,True,0,24
14,Rune arrowtips,I can make some arrows with these.,44,True,0,120
15,Opal bolt tips,Opal bolt tips.,45,True,0,4
16,Pearl bolt tips,Pearl bolt tips.,46,True,0,7
17,Barb bolttips,I can make bolts with these.,47,True,0,57
18,Longbow (u),I need to find a string for this.,48,True,0,36
19,Shortbow (u),I need to find a string for this.,50,True,0,14
20,Arrow shaft,A wooden arrow shaft.,52,True,7000,1
21,Headless arrow,A wooden arrow shaft with flights attached.,53,True,0,1
22,Oak shortbow (u),An unstrung oak shortbow; I need a bowstring for this.,54,True,0,30
23,Oak longbow (u),An unstrung oak longbow; I need a bowstring for this.,56,True,0,48
24,Willow longbow (u),An unstrung willow longbow; I need a bowstring for this.,58,True,0,96
25,Willow shortbow (u),An unstrung willow shortbow; I need a bowstring for this.,60,True,0,60
26,Maple longbow (u),An unstrung maple longbow; I need a bowstring for this.,62,True,0,192
27,Maple shortbow (u),An unstrung maple shortbow; I need a bowstring for this.,64,True,10000,120
28,Yew longbow (u),An unstrung yew longbow; I need a bowstring for this.,66,True,10000,384
29,Yew shortbow (u),An unstrung yew shortbow; I need a bowstring for this.,68,True,0,240
30,Magic longbow (u),An unstrung magic longbow; I need a bowstring for this.,70,True,10000,768
31,Magic shortbow (u),An unstrung magic shortbow; I need a bowstring for this.,72,True,0,480
32,Guam potion (unf),I need another ingredient to finish this Guam potion.,91,True,0,2
33,Marrentill potion (unf),I need another ingredient to finish this Marrentill potion.,93,True,0,3
34,Tarromin potion (unf),I need another ingredient to finish this Tarromin potion.,95,True,0,7
35,Harralander potion (unf),I need another ingredient to finish this Harralander potion.,97,True,0,12
36,Ranarr potion (unf),I need another ingredient to finish this Ranarr potion.,99,True,0,15
37,Irit potion (unf),I need another ingredient to finish this Irit potion.,101,True,0,24
38,Avantoe potion (unf),I need another ingredient to finish this Avantoe potion.,103,True,0,29
39,Kwuarm potion (unf),I need another ingredient to finish this Kwuarm potion.,105,True,0,32
40,Cadantine potion (unf),I need another ingredient to finish this Cadantine potion.,107,True,0,39
41,Dwarf weed potion (unf),I need another ingredient to finish this Dwarf Weed potion.,109,True,0,42
42,Torstol potion (unf),I need another ingredient to finish this Torstol potion.,111,True,0,15
43,Strength potion(4),4 doses of Strength potion.,113,False,0,8
44,Strength potion(3),3 doses of Strength potion.,115,False,0,8
45,Strength potion(2),2 doses of Strength potion.,117,False,0,8
46,Strength potion(1),1 dose of Strength potion.,119,False,0,7
47,Attack potion(3),3 doses of Attack potion.,121,True,0,7
48,Attack potion(2),2 doses of Attack potion.,123,True,0,5
49,Attack potion(1),1 dose of Attack potion.,125,True,0,4
50,Restore potion(3),3 doses of restore potion.,127,True,0,53
51,Restore potion(2),2 doses of restore potion.,129,True,0,40
52,Restore potion(1),1 dose of restore potion.,131,True,0,26
53,Defence potion(3),3 doses of Defence potion.,133,True,0,72
54,Defence potion(2),2 doses of Defence potion.,135,True,0,54
55,Defence potion(1),1 dose of Defence potion.,137,True,0,36
56,Prayer potion(3),3 doses of Prayer restore potion.,139,True,2000,91
57,Prayer potion(2),2 doses of Prayer restore potion.,141,True,2000,68
58,Prayer potion(1),1 dose of Prayer restore potion.,143,True,2000,46
59,Super attack(3),3 doses of super Attack potion.,145,True,2000,108
60,Super attack(2),2 doses of super Attack potion.,147,True,2000,81
61,Super attack(1),1 dose of super Attack potion.,149,True,2000,54
62,Fishing potion(3),3 doses of Fishing potion.,151,True,0,120
63,Fishing potion(2),2 doses of Fishing potion.,153,True,0,90
64,Fishing potion(1),1 dose of Fishing potion.,155,True,0,60
65,Super strength(3),3 doses of super Strength potion.,157,True,2000,132
66,Super strength(2),2 doses of super Strength potion.,159,True,2000,99
67,Super strength(1),1 dose of super Strength potion.,161,True,2000,66
68,Super defence(3),3 doses of super Defence potion.,163,True,2000,158
69,Super defence(2),2 doses of super Defence potion.,165,True,2000,119
70,Super defence(1),1 dose of super Defence potion.,167,True,2000,79
71,Ranging potion(3),3 doses of ranging potion.,169,True,0,173
72,Ranging potion(2),2 doses of ranging potion.,171,True,0,130
73,Ranging potion(1),1 dose of ranging potion.,173,True,0,86
74,Antipoison(3),3 doses of antipoison potion.,175,True,0,173
75,Antipoison(2),2 doses of antipoison potion.,177,True,0,130
76,Antipoison(1),1 dose of antipoison potion.,179,True,0,86
77,Superantipoison(3),3 doses of super antipoison potion.,181,True,0,173
78,Superantipoison(2),2 doses of super antipoison potion.,183,True,0,130
79,Superantipoison(1),1 dose of super antipoison potion.,185,True,0,86
80,Weapon poison,For use on daggers and projectiles.,187,True,0,86
81,Zamorak brew(3),3 doses of Zamorak brew.,189,True,0,105
82,Zamorak brew(2),2 doses of Zamorak brew.,191,True,0,90
83,Zamorak brew(1),1 dose of Zamorak brew.,193,True,0,75
84,Poison chalice,A cup of a strange brew...,197,True,0,12
85,Grimy guam leaf,It needs cleaning.,199,True,0,1
86,Grimy marrentill,It needs cleaning.,201,True,0,1
87,Grimy tarromin,It needs cleaning.,203,True,0,1
88,Grimy harralander,It needs cleaning.,205,True,0,1
89,Grimy ranarr weed,It needs cleaning.,207,True,0,1
90,Grimy irit leaf,It needs cleaning.,209,True,0,1
91,Grimy avantoe,It needs cleaning.,211,True,0,1
92,Grimy kwuarm,It needs cleaning.,213,True,0,1
93,Grimy cadantine,It needs cleaning.,215,True,0,1
94,Grimy dwarf weed,It needs cleaning.,217,True,0,1
95,Grimy torstol,It needs cleaning.,219,True,0,1
96,Eye of newt,It seems to be looking at me.,221,False,0,2
97,Red spiders' eggs,Ewww!,223,False,0,4
98,Limpwurt root,The root of a limpwurt plant.,225,False,0,4
99,Vial of water,A glass vial containing water.,227,False,13000,1
100,Vial,An empty glass vial.,229,False,0,1
101,Snape grass,Strange spiky grass.,231,True,0,6
102,Pestle and mortar,I can grind things for potions in this.,233,True,0,2
103,Unicorn horn dust,Finely ground horn of Unicorn.,235,True,0,12
104,Unicorn horn,This horn has restorative properties.,237,True,0,12
105,White berries,"Sour berries, used in potions.",239,True,0,6
106,Dragon scale dust,Finely ground scale of Dragon.,241,True,0,31
107,Blue dragon scale,A large shiny scale.,243,True,0,30
108,Wine of zamorak,An evil wine for an evil god.,245,False,10000,1
109,Jangerberries,They don't look very ripe.,247,True,0,1
110,Guam leaf,A bitter green herb.,249,True,0,2
111,Marrentill,A herb used in poison cures.,251,True,0,3
112,Tarromin,A useful herb.,253,True,0,7
113,Harralander,A useful herb.,255,True,0,12
114,Ranarr weed,A useful herb.,257,True,0,15
115,Irit leaf,A useful herb.,259,True,0,24
116,Avantoe,A useful herb.,261,True,0,29
117,Kwuarm,A powerful herb.,263,True,0,32
118,Cadantine,A powerful herb.,265,True,0,39
119,Dwarf weed,A powerful herb.,267,True,0,42
120,Torstol,A powerful herb.,269,True,0,45
121,Fish food,Keeps your pet fish strong and healthy.,272,False,0,1
122,Poison,This stuff looks nasty.,273,False,0,1
